X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.448521100596,57.7794991304198,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c23e61ff-4c83-4d4b-adca-92a686591dfe },,13D,
-152.447793945627,57.7797094708947,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ c23e61ff-4c83-4d4b-adca-92a686591dfe },,13D,
-152.449294553144,57.7792636821476,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2f87f1f9-16fb-433e-877f-c6a473a4cc44 },,13E,
-152.448521100596,57.7794991304198,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 2f87f1f9-16fb-433e-877f-c6a473a4cc44 },,13E,
-152.449956331429,57.7790667848267,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 4e3cd60e-6369-4a1c-bb64-a5142c68e247 },,13F,
-152.449294553144,57.7792636821476,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 4e3cd60e-6369-4a1c-bb64-a5142c68e247 },,13F,
-152.450844574256,57.7787955163709,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d4163595-b68f-44e7-a700-51e68d7cddc6 },,140,
-152.449956331429,57.7790667848267,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ d4163595-b68f-44e7-a700-51e68d7cddc6 },,140,
-152.451718938586,57.7785332457193,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 7a1d8c03-4160-4cfb-84d4-f69cc3e9108e },,141,
-152.450844574256,57.7787955163709,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 7a1d8c03-4160-4cfb-84d4-f69cc3e9108e },,141,
-152.452556353507,57.778265837622,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e161b025-23e2-48be-aa9d-c663cbe4d86d },,142,
-152.451718938586,57.7785332457193,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ e161b025-23e2-48be-aa9d-c663cbe4d86d },,142,
-152.453421541057,57.7780527297346,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 57369741-d0fd-44a3-8dd6-fcc7f16df5c8 },,143,
-152.452556353507,57.778265837622,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 57369741-d0fd-44a3-8dd6-fcc7f16df5c8 },,143,
-152.454209706145,57.7777847020078,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 86c2d6f9-8477-42fb-a1d2-f133f2457a85 },,144,
-152.453421541057,57.7780527297346,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 86c2d6f9-8477-42fb-a1d2-f133f2457a85 },,144,
-152.454532372537,57.7773556143782,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ b210dc7f-a0f2-4700-bc6c-cc4ba42d553e },,145,
-152.454209706145,57.7777847020078,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ b210dc7f-a0f2-4700-bc6c-cc4ba42d553e },,145,
-152.45468490248,57.7768785717288,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 7f50f13a-10f7-4edf-880f-e671b65ac16c },,146,
-152.454532372537,57.7773556143782,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 7f50f13a-10f7-4edf-880f-e671b65ac16c },,146,
-152.45482494309,57.7763778096919,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 795c60aa-b4d9-41e3-87d7-09b709f1fc45 },,147,
-152.45468490248,57.7768785717288,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 795c60aa-b4d9-41e3-87d7-09b709f1fc45 },,147,
-152.454945156199,57.7759582580838,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 62dfd9f1-5715-40ec-b497-16e21bbda8dd },,148,
-152.45482494309,57.7763778096919,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 62dfd9f1-5715-40ec-b497-16e21bbda8dd },,148,
-152.455069270348,57.7755128991759,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ b3d11523-8b00-4a3f-b9e5-0e0d4cbbe707 },,149,
-152.454945156199,57.7759582580838,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ b3d11523-8b00-4a3f-b9e5-0e0d4cbbe707 },,149,
-152.45613390338,57.7753566389775,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 93b34e16-81c8-416c-befb-72b15c9270a2 },,14A,
-152.455069270348,57.7755128991759,TRNSMSMWIRE,AcDbEntity:AcDbPolyline,{ 93b34e16-81c8-416c-befb-72b15c9270a2 },,14A,
