X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.904198570468,57.7855899470284,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,118,XXXXX
-152.904678263941,57.7848112465282,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,11B,XXXXX
-152.905158019414,57.7840298075393,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,11E,XXXXX
-152.905637671179,57.7832511030775,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,121,XXXXX
-152.906112179061,57.7824723524291,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,124,XXXXX
-152.906591871992,57.7816909075163,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,127,XXXXX
-152.907017752451,57.7809938507906,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,12A,XXXXX
-152.908212775335,57.780618200101,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,12D,XXXXX
-152.909583761418,57.7801838330701,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,130,XXXXX
-152.910908116312,57.7797654740682,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,133,XXXXX
-152.912253095722,57.7793418038945,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,136,XXXXX
-152.913577389135,57.7789234167406,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,139,XXXXX
-152.914901652024,57.7785050156206,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,13C,XXXXX
-152.916220761943,57.7780865567393,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,13F,XXXXX
-152.917265652141,57.7777560705851,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,142,XXXXX
-152.918028615599,57.7770864915555,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,145,XXXXX
-152.91868120339,57.7765090320138,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,148,XXXXX
-152.919423216989,57.7758529521193,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,14B,XXXXX
-152.920212608696,57.7751534760199,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,14E,XXXXX
-152.920943996199,57.7745082457344,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,151,XXXXX
-152.921717555667,57.7738223117427,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,154,XXXXX
-152.921270494566,57.7730082901467,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,157,XXXXX
-152.920964228014,57.7724555015836,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,15A,XXXXX
-152.920152520635,57.7709869117418,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,15D,XXXXX
-152.919714954823,57.7702003370807,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,160,XXXXX
-152.920584983724,57.7717734412437,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,163,XXXXX
-152.919277489569,57.7694110243496,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,166,XXXXX
-152.91884508257,57.7686244902891,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,169,XXXXX
-152.91840757318,57.767837911018,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,16C,XXXXX
-152.917994541692,57.7670898601835,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,16F,XXXXX
-152.91756698317,57.766314311495,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,172,XXXXX
-152.917139360918,57.7655414978597,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,175,XXXXX
-152.916706718088,57.7647659024536,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,178,XXXXX
-152.915861477103,57.7632313014955,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,17B,XXXXX
-152.915443429523,57.7624831983647,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,17E,XXXXX
-152.914583754784,57.7609210919703,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,181,XXXXX
-152.915011186949,57.7616966509402,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,184,XXXXX
-152.914170715516,57.7601785014601,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,187,XXXXX
-152.913733407768,57.7593919057128,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,18A,XXXXX
