X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.701536023325,57.7520323097085,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,130,XXXXX
-152.704200724004,57.749730834895,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,133,XXXXX
-152.706276206759,57.7479380178016,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,136,XXXXX
-152.708712426713,57.7458333208755,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,139,XXXXX
-152.71059138675,57.74420985045,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,13C,XXXXX
-152.712148080503,57.7428646939005,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,13F,XXXXX
-152.713696848683,57.7415262666791,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,142,XXXXX
-152.717530168515,57.7382130452216,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,145,XXXXX
-152.719760203506,57.7362852422654,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,148,XXXXX
-152.72221100186,57.7341663109771,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,14B,XXXXX
-152.724137465508,57.7325005040658,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,14E,XXXXX
-152.726747880577,57.7302429926925,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,151,XXXXX
-152.729796046794,57.727606481968,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,154,XXXXX
-152.732055982614,57.7256514531951,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,157,XXXXX
-152.73437163158,57.7236479649625,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,15A,XXXXX
-152.73706845898,57.7213143473537,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,15D,XXXXX
-152.738458298677,57.7201115507717,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,160,XXXXX
-152.740438966407,57.7188651464512,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,163,XXXXX
-152.74229161883,57.7176991938201,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,166,XXXXX
-152.744386973382,57.7163803744953,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,169,XXXXX
-152.7466550848,57.7149526734154,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,16C,XXXXX
-152.749338029407,57.7132636494711,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,16F,XXXXX
-152.751870698256,57.711669032279,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,172,XXXXX
-152.754620049172,57.7099377701506,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,175,XXXXX
-152.759648719951,57.7093737345554,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,178,XXXXX
-152.764330827276,57.708853363189,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,17B,XXXXX
-152.767653060072,57.7084840375915,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,17E,XXXXX
-152.770367469132,57.7081822120628,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,181,XXXXX
-152.774933603704,57.7076743432327,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,184,XXXXX
-152.778533957954,57.707273767073,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,187,XXXXX
-152.781249190076,57.7069715960878,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,18A,XXXXX
-152.785064156202,57.7065469315516,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,18D,XXXXX
-152.790083942238,57.7060298964662,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,190,XXXXX
-152.794169797707,57.7055321905314,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,193,XXXXX
-152.798761300875,57.7050205511796,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,196,XXXXX
-152.803158973498,57.7045303407747,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,199,XXXXX
-152.805758180292,57.7042405279253,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,19C,XXXXX
-152.809712740823,57.7038317346575,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,19F,XXXXX
-152.811361702579,57.7040163761306,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1A2,XXXXX
-152.814961286802,57.7044339339097,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1A5,XXXXX
-152.817785450362,57.7047614633172,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1A8,XXXXX
-152.820437273146,57.7050689430281,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1AB,XXXXX
-152.824324896854,57.7055196045674,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1AE,XXXXX
-152.82965529814,57.7061373039374,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1B1,XXXXX
-152.834000908325,57.706640702011,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1B4,XXXXX
-152.839015302921,57.7072213700011,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1B7,XXXXX
-152.845236297136,57.7079414609954,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1BA,XXXXX
-152.850975895461,57.708606281201,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1BD,XXXXX
-152.856757644499,57.7092191704023,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1C0,XXXXX
-152.869815477655,57.7062858992878,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1C3,XXXXX
-152.873552418458,57.7029255548572,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1C6,XXXXX
-152.88155233492,57.6965874793734,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1C9,XXXXX
-152.886141470542,57.6951292702907,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1CC,XXXXX
-152.889057246667,57.6925305331313,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1CF,XXXXX
-152.891557922929,57.6897582881412,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1D2,XXXXX
-152.894058215288,57.6869859912142,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1D5,XXXXX
-152.477792126433,57.7760608838485,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1D8,XXXXX
-152.47872410909,57.7758322587409,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1DB,XXXXX
-152.479589557643,57.7756199463841,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1DE,XXXXX
-152.432399954676,57.7977994904998,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1E1,XXXXX
-152.433685513521,57.7975257625899,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1E4,XXXXX
-152.435113889576,57.7972216050131,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1E7,XXXXX
-152.436542241776,57.7969174311686,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1EA,XXXXX
-152.437970570218,57.7966132411455,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1ED,XXXXX
-152.439478999216,57.7962919689923,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1F0,XXXXX
-152.440752666487,57.7956977409928,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1F3,XXXXX
-152.442026291935,57.7951034999403,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1F6,XXXXX
