Location,Site Name,Site Description,"Latitude and Longitude(Deg Min Sec)","Latitude and Longitude(Decimal)",Link to site location,Picture Location,Copyright
A World Bridge,A World Bridge Headquarters,"Real-time, Real-world Project Based Learning","N40 59 39.3,     W74 16 44.6838","40.994250, -74.279079",www.aworldbridge.com,USA1.png,TrilliumLearning
"Alaska, USA","Kodiak, Alaska",A World Bridge Project Site: Kodiak Island Borough School District,"N 57 47 36.0636,    W 152 23 40.4736","57.793351, -152.394576",http://aworldbridge.com/global-school-network/usa/alaska/kodiak-island-borough-schoo/kodiak-high-school/,USA2.jpeg,TrilliumLearning
"Alaska, USA","Akiak, Alaska",A World Bridge Project Site: Yupiit School District,"N 60 54 32.5434,      W 161 13 22.7712","60.90904, -161.222992",http://aworldbridge.com/,USA1.png,TrilliumLearning
"Alaska, USA","Tuluksak, Alaska",A World Bridge Project Site: Yupiit School District,"N 61 5 53.9412,       W 160 57 34.1712","61.098317, -160.959492",http://aworldbridge.com/,USA1.png,TrilliumLearning
"Alaska, USA","Copper River, Alaska",A World Bridge Project Site: Copper River School District,"N 62 6 46.731,         W  145 31 35.8284","62.112981, -145.526619",http://aworldbridge.com/global-school-network/usa/alaska/copper-river-school-distric/,USA3.jpeg,TrilliumLearning
"Alaska, USA","Ketchikan, Alaska",A World Bridge Project Site: Ketchikan Gateway Borough School District,"N 55 21 12.4266,     W 131 40 40.5222","55.353452, -131.677923",http://aworldbridge.com/global-school-network/usa/alaska/ketchikan-gateway-borough/america-bridge-projects/,USA1.png,TrilliumLearning
"New York, USA","Middletown, New York",A World Bridge Project Site: Fei Tian Academy of the Arts,"N 41 27 7.3506,        W 74 26 18.4812","41.452042, -74.438467",http://aworldbridge.com/global-school-network/usa/new-york-2/fei-tian-academy-of-the.html,USA4.jpeg,TrilliumLearning
