Location,Site Name,Site Description,"Latitude and Longitude(Deg Min Sec)","Latitude and Longitude(Decimal)",Link to site location,Picture Location,Copyright
"New York, USA","Fei Tian Academy of the Arts",Building 3: Administration and Curriculum,"","41.451832,  -74.438505", http://www.feitianacademy.org/,FEITIAN.jpeg,TrilliumLearning
"New York, USA","Fei Tian Academy of the Arts",Building 2: Performing Arts building,"","41.452354,  -74.438258", http://www.feitianacademy.org/,FEITIAN.jpeg,TrilliumLearning
"New York, USA","Fei Tian Academy of the Arts",Building 1,"","41.453134,  -74.436965", http://www.feitianacademy.org/,FEITIAN.jpeg,TrilliumLearning
"New York, USA","Fei Tian Academy of the Arts",Building 4,"","41.451603,  -74.439197", http://www.feitianacademy.org/,FEITIAN.jpeg,TrilliumLearning
"New York, USA","Fei Tian Academy of the Arts",Building 5,"","41.452403,  -74.439250", http://www.feitianacademy.org/,FEITIAN.jpeg,TrilliumLearning
